SEQUENCE_PAIRS,AA_MISMATCHES
QRU91422.1_QRU91746.1,30
QRU91590.1_QRU91746.1,29
QRU91938.1_QRU91746.1,26
QRU91938.1_QRU91422.1,19
QRU92058.1_QRU91422.1,19
QRU91086.1_QRU91746.1,19
QRU91014.1_QRU91422.1,18
QRU91014.1_QRU91746.1,18
QRU92991.1_QRU91422.1,18
QRU92991.1_QRU91746.1,18
QRU92154.1_QRU91422.1,18
QRU92154.1_QRU91746.1,18
QRU92058.1_QRU91590.1,18
QRU92058.1_QRU91746.1,18
QRU91590.1_QRU91422.1,18
QRU91014.1_QRU91590.1,17
QRU90810.1_QRU91422.1,17
QRU90810.1_QRU91746.1,17
QRU91182.1_QRU91422.1,17
QRU91182.1_QRU91746.1,17
QRU91206.1_QRU91422.1,17
QRU91206.1_QRU91746.1,17
QRU92991.1_QRU91590.1,17
QRU91218.1_QRU91422.1,17
QRU91218.1_QRU91746.1,17
QRU91290.1_QRU91422.1,17
QRU91290.1_QRU91746.1,17
QRU91434.1_QRU91422.1,17
QRU91434.1_QRU91746.1,17
QRU91374.1_QRU91422.1,17
QRU91374.1_QRU91746.1,17
QRU91662.1_QRU91422.1,17
QRU91662.1_QRU91746.1,17
QRU91686.1_QRU91422.1,17
QRU91686.1_QRU91746.1,17
QRU91578.1_QRU91422.1,17
QRU91578.1_QRU91746.1,17
QRU91974.1_QRU91422.1,17
QRU91974.1_QRU91746.1,17
QRU92297.1_QRU91422.1,17
QRU92297.1_QRU91746.1,17
QRU92226.1_QRU91422.1,17
QRU92226.1_QRU91746.1,17
QRU92154.1_QRU91590.1,17
QRU90810.1_QRU91590.1,16
QRU91182.1_QRU91590.1,16
QRU91206.1_QRU91590.1,16
QRU91218.1_QRU91590.1,16
QRU91290.1_QRU91590.1,16
QRU91434.1_QRU91590.1,16
QRU91374.1_QRU91590.1,16
QRU91662.1_QRU91590.1,16
QRU91686.1_QRU91590.1,16
QRU91578.1_QRU91590.1,16
QRU91974.1_QRU91590.1,16
QRU92297.1_QRU91590.1,16
QRU92226.1_QRU91590.1,16
QRU91086.1_QRU91422.1,16
QRU91938.1_QRU92058.1,15
QRU91938.1_QRU92991.1,14
QRU91938.1_QRU92154.1,14
QRU91938.1_QRU90810.1,13
QRU91938.1_QRU91182.1,13
QRU91938.1_QRU91206.1,13
QRU91938.1_QRU91218.1,13
QRU91938.1_QRU91290.1,13
QRU91938.1_QRU91434.1,13
QRU91938.1_QRU91374.1,13
QRU91938.1_QRU91662.1,13
QRU91938.1_QRU91686.1,13
QRU91938.1_QRU91578.1,13
QRU91938.1_QRU91974.1,13
QRU91938.1_QRU92297.1,13
QRU91938.1_QRU92226.1,13
QRU91014.1_QRU91938.1,12
QRU92058.1_QRU91086.1,11
QRU91086.1_QRU91590.1,11
QRU91014.1_QRU91086.1,10
QRU92991.1_QRU91086.1,10
QRU92154.1_QRU91086.1,10
QRU91938.1_QRU91590.1,9
QRU90810.1_QRU91086.1,9
QRU91182.1_QRU91086.1,9
QRU91206.1_QRU91086.1,9
QRU91218.1_QRU91086.1,9
QRU91290.1_QRU91086.1,9
QRU91434.1_QRU91086.1,9
QRU91374.1_QRU91086.1,9
QRU91662.1_QRU91086.1,9
QRU91686.1_QRU91086.1,9
QRU91578.1_QRU91086.1,9
QRU91974.1_QRU91086.1,9
QRU92297.1_QRU91086.1,9
QRU92226.1_QRU91086.1,9
QRU91938.1_QRU91086.1,8
QRU91014.1_QRU92058.1,3
QRU92991.1_QRU92058.1,3
QRU92154.1_QRU92058.1,3
QRU91014.1_QRU92991.1,2
QRU91014.1_QRU92154.1,2
QRU90810.1_QRU92058.1,2
QRU91182.1_QRU92058.1,2
QRU91206.1_QRU92058.1,2
QRU92991.1_QRU92154.1,2
QRU91218.1_QRU92058.1,2
QRU91290.1_QRU92058.1,2
QRU91434.1_QRU92058.1,2
QRU91374.1_QRU92058.1,2
QRU91662.1_QRU92058.1,2
QRU91686.1_QRU92058.1,2
QRU91578.1_QRU92058.1,2
QRU91974.1_QRU92058.1,2
QRU92297.1_QRU92058.1,2
QRU92226.1_QRU92058.1,2
QRU91014.1_QRU90810.1,1
QRU91014.1_QRU91182.1,1
QRU91014.1_QRU91206.1,1
QRU91014.1_QRU91218.1,1
QRU91014.1_QRU91290.1,1
QRU91014.1_QRU91434.1,1
QRU91014.1_QRU91374.1,1
QRU91014.1_QRU91662.1,1
QRU91014.1_QRU91686.1,1
QRU91014.1_QRU91578.1,1
QRU91014.1_QRU91974.1,1
QRU91014.1_QRU92297.1,1
QRU91014.1_QRU92226.1,1
QRU90810.1_QRU92991.1,1
QRU90810.1_QRU92154.1,1
QRU91182.1_QRU92991.1,1
QRU91182.1_QRU92154.1,1
QRU91206.1_QRU92991.1,1
QRU91206.1_QRU92154.1,1
QRU92991.1_QRU91218.1,1
QRU92991.1_QRU91290.1,1
QRU92991.1_QRU91434.1,1
QRU92991.1_QRU91374.1,1
QRU92991.1_QRU91662.1,1
QRU92991.1_QRU91686.1,1
QRU92991.1_QRU91578.1,1
QRU92991.1_QRU91974.1,1
QRU92991.1_QRU92297.1,1
QRU92991.1_QRU92226.1,1
QRU91218.1_QRU92154.1,1
QRU91290.1_QRU92154.1,1
QRU91434.1_QRU92154.1,1
QRU91374.1_QRU92154.1,1
QRU91662.1_QRU92154.1,1
QRU91686.1_QRU92154.1,1
QRU91578.1_QRU92154.1,1
QRU91974.1_QRU92154.1,1
QRU92297.1_QRU92154.1,1
QRU92226.1_QRU92154.1,1
